id,date,obs_type,org_id,org_name,category,description,resolved
88ef96a9-c478-43a5-8d59-4f8d8aa85ae2,2024-01-04,Нарушение,org_45,"ТОО ""Лазурный Дельфиниум""",Взрыво- и пожароопасность,Отклонение опоры на линии закачки мазута АТ-2,Устранено
62ee9b9d-39da-41a7-8679-46b7035da4ee,2024-01-05,Нарушение,org_81,"ТОО ""Флора Капитал""","Рабочее место / Эргономика, Проскальзывание / Спотыкание / Падение",Плохое освещение в вент камере.,Устранено
329b107c-9d21-49a9-92b4-9d0e01979e3f,2024-01-05,Нарушение,org_22,"ТОО ""Голубая Гортензия""",Проскальзывание / Спотыкание / Падение,Торчит металлические крепление старого элект. щита,Устранено
b1d45e6a-28df-48c3-904a-dc7e61f17cc6,2024-01-06,Нарушение,org_87,"ТОО ""Южная Магнолия""",Взрыво- и пожароопасность,В насосной №43 произошла утечка нефтепродукта с насоса №4,Устранено
b05394dd-56c1-43fa-8689-c8580453471a,2024-01-06,Нарушение,org_20,"ТОО ""Весенний Пион""",Проскальзывание / Спотыкание / Падение,Арматура торчит 12 см со стороны колона №1,Устранено
6db3a4a4-3755-4e5a-a933-65b5ee2bbc30,2024-01-09,Нарушение,org_69,"ТОО ""Сафлоровый Рассвет""",Целостность объекта / Оборудования,При обходе установки обнаружил что на входной двери реогентного помещения сломана ручка.,Устранено
03228065-6570-4b43-9a46-ebcbb1d0111e,2024-01-10,Нарушение,org_76,"ТОО ""Степной Шалфей""",Проскальзывание / Спотыкание / Падение,Между установкой ТАМЕ и ПитН имеется перегородка в виде бетонного забора. Бетонный забор частично разрушен и имеется наклон с риском падения.,Устранено
2692adf7-4fbd-4555-ada7-dacc07367d8b,2024-01-11,Нарушение,org_14,"ТОО ""Белая Роза""",Проскальзывание / Спотыкание / Падение,При входе в операторную заметила отвисание кафеля от стены в коридоре,Устранено
550ca641-22ba-4767-9a3e-6517b4d94509,2024-01-11,Нарушение,org_71,"ТОО ""Серебряный Лотос""",Проскальзывание / Спотыкание / Падение,"На котле  утилизатор в 3-ем ярусе со стороны воздуходувок через переход проведен отвод трубопровода для временной подачи пара или воздуха. Этот отвод мешает пройти, приходится перепрыгивать. кроме того на его конце приварен квадратная заглушка.",Устранено
3cc2ed30-f75f-40fc-8b47-65cc0daed7eb,2024-01-11,Нарушение,org_06,"ТОО ""Алая Гвоздика""","Проскальзывание / Спотыкание / Падение, Поддержание чистоты и порядка",На котле утилизаторе в 3ем ярусе со стороны воздуходувок через проход проведен отвод трубопровода для временной подачи пара или воздуха этот отвод мешает пройти и приходится перемешивать. Кроме того на его конце приварена квадратная заглушка,Устранено
363d571e-00c5-4eb9-a5b2-79e6394af7b2,2024-01-11,Нарушение,org_66,"ТОО ""Садовый Гиацинт""",Целостность объекта / Оборудования,"На котле утилизатор ЗИП-154 (в ЗИПе ПТБ) в ходе осмотра был выявлен выпускной трубопровод (паропровод) для подачи пара или водяного пара, расположенный в зоне прохода персонала. Кромка патрубка имеет острые края, кроме того, на его конце отсутствует приваренная квадратная заглушка.",Устранено
5465e26d-7449-46b4-8a4c-99fdb634329a,2024-01-16,Предложение,org_64,"ТОО ""Розовый Флокс""","Целостность объекта / Оборудования, Рабочее место / Эргономика",Отсутствует рабочая площадка,Устранено
96b2f59d-041d-48d9-9d58-dfbfc132cf89,2024-01-17,Нарушение,org_88,"ТОО ""Янтарная Хризантема""",Проскальзывание / Спотыкание / Падение,Во время работы споткнулся об паровой шланг,Устранено
4f3a3efd-cb6b-4efb-bbb6-e3305ee9e285,2024-01-17,Нарушение,org_79,"ТОО ""Тихая Камелия""",Падающие предметы,На лестничном марше сломан кафель,Устранено
e8d04aca-fd4c-4c11-8d32-52734145765c,2024-01-17,Нарушение,org_47,"ТОО ""Лесной Ландыш""",Проскальзывание / Спотыкание / Падение,Не закрыта крышка колодца про стока после откачки,Устранено
96c6ad31-ce33-40f5-b95d-fadfb3691248,2024-01-26,Нарушение,org_68,"ТОО ""Сакура Плюс""",Падающие предметы,При наливных операциях на эстакаде обнаружено отсутствие освещения,Устранено
89bb6194-f607-4bca-b68a-fdba81085e60,2024-02-01,Нарушение,org_41,"ТОО ""Көктем Гүлі""",Падающие предметы,Оставлен настил от строительных лесов на линиях трубопровода на отметке 4 м. Во время обхода из-за сильного ветра настил стал качаться.,Устранено
723a7d75-de61-42f7-94ff-c106b1ee4ca5,2024-02-05,Нарушение,org_89,"ТОО ""Японская Сакура""","Проскальзывание / Спотыкание / Падение, Падающие предметы",На колоне С-201 образование наледи из-за пара на 2 и 3 ярус .,Устранено
e5b00510-7307-4bc8-a3b5-cee38f30aea3,2024-02-07,Нарушение,org_50,"ТОО ""Небесная Камелия""",Рабочее место / Эргономика,Не работающие лампы освещения,Устранено
7f61a874-0a92-4efa-85a4-c0a9179211b4,2024-02-07,Нарушение,org_24,"ТОО ""Грация Гортензии""",Рабочее место / Эргономика,При входной двери АТС сломана дверная ручка есть вероятность порезов,Устранено
9d7c0fff-9765-48da-bf63-43c1e4d5b57f,2024-02-09,Нарушение,org_24,"ТОО ""Грация Гортензии""",Проскальзывание / Спотыкание / Падение,Была демонтирована просечка на обслуживающей площадки для монтажных работ. После окончании монтажных работ просечку не установили на место.ПГПН УКК.,Устранено
83127f1b-72d6-46e7-a3b4-4d397b298429,2024-02-11,Нарушение,org_41,"ТОО ""Көктем Гүлі""",Проскальзывание / Спотыкание / Падение,Над трубной линией в маш. зале сдвинута стлань со своего места,Устранено
94b5944e-f7c5-466c-88e1-2af0d61fa432,2024-02-13,Нарушение,org_47,"ТОО ""Лесной Ландыш""",Целостность объекта / Оборудования,"На установке при переходе через тех.трубопроводов установлен переход с продолжением, но не связан поручнями образовывая опасный разрыв",Устранено
e95f6bb0-efbc-434f-a5b8-14a452eaa984,2024-02-13,Нарушение,org_65,"ТОО ""Рубиновый Мак""",Падающие предметы,"На крыши здания склада из-за большого скопления снега, образовался снежный ""козырек""",Устранено
ab801013-c3f2-4a2d-96ce-765438cf4670,2024-02-13,Нарушение,org_15,"ТОО ""Белоснежная Азалия""","Работы в замкнутом пространстве, Знаки безопасности / Предупредительные таблички",При работе в замкнутном пространстве не было достаточного освещения и знаков безопасности,Устранено
66775ef4-99cd-450a-a91b-61fe2436075e,2024-02-14,Нарушение,org_66,"ТОО ""Садовый Гиацинт""",Проскальзывание / Спотыкание / Падение,При открытии двери склада 8 сломалась верхняя петля на металлической двери.,Устранено
509f74e4-db3f-48fd-b126-72f6dbb7e62f,2024-02-14,Нарушение,org_16,"ТОО ""Белый Лотос KZ""",Проскальзывание / Спотыкание / Падение,При открытии двери склада 8 сломалась верхняя петля на металлической двери.,Устранено
60c4b8d6-b149-4d5a-9974-562c47c15004,2024-02-15,Нарушение,org_70,"ТОО ""Северный Нарцисс""",Рабочее место / Эргономика,"На территории установки БОС в районе помещения временного пребывания имеется линия трубопровода, расположенная на уровне головы",Устранено
cbe1e756-4d98-409a-9291-d971ec6c3aa9,2024-02-15,Нарушение,org_85,"ТОО ""Цветущий Олеандр""",Трубопроводы / Подземные коммуникации,Производил обход установки территорий установки Водоблок При обходе увидел пропуск пара возле нефтеотделителя,Устранено
a2f44ab4-1b5e-4aff-809e-91e68d6049df,2024-03-03,Нарушение,org_14,"ТОО ""Белая Роза""",Рабочее место / Эргономика,Частично отсутствует освещение на левой стороне эстакады,Устранено
d4ee9d1b-8df1-48f4-9265-87f7742d835d,2024-03-04,Предложение,org_59,"ТОО ""Пудровая Роза""",Целостность объекта / Оборудования,сплитсистема установлена над входом. риск утечки масла на персонал,Устранено
e4e0eb18-4c9d-41c5-a354-f3bd0b5dc1d9,2024-03-10,Нарушение,org_46,"ТОО ""Лепесток Удачи""",Целостность объекта / Оборудования,"Висит знак  в одну сторону ""Подземный кран""",Устранено
fe1607b9-75f1-4691-989e-5c22cc4f72c2,2024-03-11,Нарушение,org_61,"ТОО ""Рассветная Лаванда""",Опасные вещества/сероводород,тара с хим веществами на лестничной площадке в неположенном месте,Устранено
902a2a49-a26c-4f56-a1d3-f4c1c90bd8dd,2024-03-11,Нарушение,org_85,"ТОО ""Цветущий Олеандр""",Проскальзывание / Спотыкание / Падение,Обледенения вокруг эстакады,Устранено
b188d141-75cc-4dfa-a729-91571f176196,2024-03-12,Нарушение,org_84,"ТОО ""Цветущий Миндаль""",Проскальзывание / Спотыкание / Падение,Не закреплено бетонное основание вертикальной лестницы,Устранено
32007386-2be6-4424-a91c-a6e50f2a6408,2024-03-12,Нарушение,org_21,"ТОО ""Гармония Лилий""",Проскальзывание / Спотыкание / Падение,Нарушение целостности двух металлических полос ограждения,Устранено
b09ad5a6-3296-4dc5-8f1b-844eebf9cbc5,2024-03-12,Нарушение,org_11,"ТОО ""Ароматный Мирт""",Проскальзывание / Спотыкание / Падение,При подъеме по лестнице с 9-го на 10-й ярус имеется жесткая линия.,Устранено
62ea8e76-0589-4500-b43b-a92ee0bd2d9d,2024-03-12,Нарушение,org_82,"ТОО ""Цветочный Бриз""",Проскальзывание / Спотыкание / Падение,При подъеме по лестнице с 9-го на 10-й ярус имеется жесткая линия.,Устранено
0d82cf23-a9d2-486b-b898-96dc80253e53,2024-03-12,Нарушение,org_35,"ТОО ""Золотой Подсолнух""",Проскальзывание / Спотыкание / Падение,Нарушение металлического ограждения бетонного перехода,Устранено
3122bb8d-f224-4578-9d1f-762c45ef8e82,2024-03-13,Нарушение,org_77,"ТОО ""Тайный Бутон""",Целостность объекта / Оборудования,На линии провода ДУ50 расположен на дороге в районе насосной Н30 изоляция изношены,Устранено
be15182a-7333-4fe2-8a1c-8448b75c9d00,2024-03-14,Нарушение,org_82,"ТОО ""Цветочный Бриз""",Целостность объекта / Оборудования,Очень плохое освещение между котлами на улице,Устранено
5e9f93c7-daec-4085-b205-3bb2045fbefb,2024-03-15,Нарушение,org_51,"ТОО ""Нежная Фиалка""",Проскальзывание / Спотыкание / Падение,Торчащая пластина (металлическая) с бетонной дорожки,Устранено
30b2b5f1-ff4c-4eef-aec5-2ca3248093ea,2024-04-05,Нарушение,org_06,"ТОО ""Алая Гвоздика""","Проскальзывание / Спотыкание / Падение, Падающие предметы",Отсутствует просечка на обслуживающей площадке и  колоны D-201.,Устранено
61c4fb27-b037-42b4-a475-934bc877a30a,2024-04-05,Нарушение,org_47,"ТОО ""Лесной Ландыш""",Падающие предметы,При загрузке катализатора возникают проблемы открытия Биг-бега.,Устранено
aca32bb6-8522-4b36-b4a4-f739f6ed2e0b,2024-04-05,Нарушение,org_37,"ТОО ""Имперская Орхидея""",Взрыво- и пожароопасность,В Единой операторной в на лестнице у входа стоит огнетушитель с красным делением на стрелке монметра.,Устранено
119d0805-4c74-4142-8bf3-c45a5eda8ac4,2024-04-05,Нарушение,org_41,"ТОО ""Көктем Гүлі""",Транспортировка,В автобусе гос. номер 743 отсутствует спинка сидения,Устранено
2e182743-20b4-4913-b00b-258a43a8ce36,2024-04-09,Нарушение,org_34,"ТОО ""Золотая Лилия""",Проскальзывание / Спотыкание / Падение,Между здание ПЕТРИКО и блокам отстойников 52 М1 25-26 на переходном мостике сломаны ступеньки.,Устранено
5b63c646-19ea-4a64-b2b1-c047b7a3a12f,2024-04-10,Нарушение,org_88,"ТОО ""Янтарная Хризантема""",Проскальзывание / Спотыкание / Падение,Возле РП-15 грязеприемник в открытосм состоянии,Устранено
bda6839b-425b-47f7-aa70-f54641f4c3db,2024-04-10,Нарушение,org_17,"ТОО ""Весенний Букет""",Целостность объекта / Оборудования,Торчащая арматура по краю бетонной дорожки,Устранено
563226d2-f0a4-400a-96f3-cce20ae8f4eb,2024-04-10,Нарушение,org_14,"ТОО ""Белая Роза""",Целостность объекта / Оборудования,"От ПС-3 до здания КНС, на кабельной эстакаде происходит обрушение пола.",Устранено
fa5ec527-41d5-40f6-ba42-6f44bbe2093c,2024-04-11,Нарушение,org_88,"ТОО ""Янтарная Хризантема""",Падающие предметы,"Район гор. насосный, свисает профлист",Устранено
