id,date,time,type,org_id,org_name,location,description,cause,status
0e2ee105-ec22-4c81-85a9-addff9a70aea,2023-01-01,10:42,Микротравма,org_02,БурСервис,Компрессорная,Засорение глаза стружкой при работе без защитных очков.,Нарушение технологии,Закрыто
b9639d2f-c7b2-4eae-9cb1-098bff594f36,2023-01-07,21:54,Опасная ситуация,org_05,АзимутДриллинг,Электроподстанция,Обнаружена неисправность предохранительного клапана на ёмкости под давлением.,Несоблюдение дистанции,Закрыто
58b8d679-207a-4a81-aa61-0a2d29682cc5,2023-01-09,14:43,Авария оборудования,org_06,СтройПодряд,Электроподстанция,Разрыв гидравлического шланга буровой установки — розлив масла на площадку.,Коррозия трубопровода,Закрыто
59d25bb7-40ef-4054-98ef-367d8b3029ec,2023-01-12,05:06,Микротравма,org_06,СтройПодряд,Компрессорная,Ушиб колена при спуске по лестнице в условиях недостаточного освещения.,Спешка при выполнении работ,Закрыто
da51eb47-3203-4223-8b78-3dfe3fb53a8a,2023-01-18,20:02,Микротравма,org_06,СтройПодряд,Электроподстанция,Мелкие порезы рук при работе с металлическими заготовками без перчаток.,Нарушение технологии,Закрыто
05843621-3eae-48b1-8516-7e4a0a810c67,2023-01-22,10:15,НС (несчастный случай),org_01,КМГ-Кумколь (основное),Электроподстанция,Ушиб головы в результате удара о незащищённую металлоконструкцию.,Усталость персонала,Закрыто
2acd95a2-d219-4971-9e7a-6a5951419b37,2023-01-22,21:05,Авария оборудования,org_04,КазТехСтрой,Электроподстанция,Разрыв гидравлического шланга буровой установки — розлив масла на площадку.,Нарушение регламента ТО,Закрыто
d2e9f9c4-4505-4eac-be9c-983de6c770e0,2023-01-24,20:11,Опасная ситуация,org_04,КазТехСтрой,Буровая №3,Отсутствие ограждения траншеи в ночное время — риск падения персонала.,Несоблюдение дистанции,Расследуется
4cf9dd97-4e83-48ed-9f48-ce570b9db7f6,2023-01-26,20:16,Near-miss,org_07,ТрансНефть,Трубопровод Б-12,Водитель спецтехники не заметил пешехода в слепой зоне — столкновение предотвращено экстренным торможением.,Некорректная укладка материалов,Закрыто
e9d578ee-544c-466a-85de-612d8b895edc,2023-01-29,07:41,Микротравма,org_02,БурСервис,Электроподстанция,Ушиб колена при спуске по лестнице в условиях недостаточного освещения.,Спешка при выполнении работ,Закрыто
b9443bdd-ccf0-4a14-a4b9-610b6a5c6a65,2023-02-02,09:35,Микротравма,org_07,ТрансНефть,Административный корпус,Порез указательного пальца при работе с трубной арматурой.,Нарушение технологии,Закрыто
5aa21fc2-7330-4ad9-b73d-c2fab1a5d2a4,2023-02-09,13:02,Экологическое нарушение,org_02,БурСервис,Компрессорная,Нарушение режима работы факельной установки — чёрный дым в течение 20 минут.,Утечка химических веществ,Расследуется
4d21de3e-8d8c-4e5e-8b3d-bdc57cf084af,2023-02-10,11:41,Опасная ситуация,org_06,СтройПодряд,Электроподстанция,Обнаружена разгерметизация фланцевого соединения на трубопроводе высокого давления.,Отсутствие ограждений,Расследуется
d8072f56-dfa3-4c16-9081-aa6a11fce6eb,2023-02-17,21:01,Near-miss,org_01,КМГ-Кумколь (основное),Компрессорная,"Оборвавшийся строп при подъёме груза — груз упал в зоне, которая была незадолго до этого освобождена.",Некорректная укладка материалов,Закрыто
74220156-08ad-4f2d-bc00-a8855f6ca570,2023-02-20,14:01,Опасная ситуация,org_05,АзимутДриллинг,Буровая №3,Обнаружена разгерметизация фланцевого соединения на трубопроводе высокого давления.,Нарушение ППР,Расследуется
cb6ee08e-a5a2-4cf5-8ff5-c0206e4b300d,2023-02-21,21:43,Опасная ситуация,org_07,ТрансНефть,Буровая №2,Захламлённость эвакуационного прохода — возможно блокирование выхода при аварии.,Отсутствие ограждений,Открыто
62b32317-82e6-4a1b-818f-ad02c10d3881,2023-02-24,22:26,Экологическое нарушение,org_05,АзимутДриллинг,Компрессорная,Утечка пластовой воды из ёмкости хранения — площадь загрязнения ~10 м².,Нарушение обращения с отходами,Закрыто
9ff8c6f5-7c14-4982-bbf1-4c68b8dc3271,2023-02-27,22:34,Микротравма,org_06,СтройПодряд,Буровая №3,Засорение глаза стружкой при работе без защитных очков.,Неправильное использование инструмента,Расследуется
6dd45db6-8bf5-4665-accc-6b617bc4ba8c,2023-02-27,19:22,Опасная ситуация,org_01,КМГ-Кумколь (основное),Трубопровод А-7,Отсутствие ограждения траншеи в ночное время — риск падения персонала.,Захламлённость рабочей зоны,Закрыто
5b944fb0-57fa-4976-8e20-cd044d5770d0,2023-03-02,21:08,Микротравма,org_02,БурСервис,Буровая №3,Ссадина предплечья при контакте с острой кромкой оборудования.,Спешка при выполнении работ,Открыто
1e73620d-b6b7-4e00-a209-b3342e4abeb3,2023-03-07,12:48,Near-miss,org_01,КМГ-Кумколь (основное),Административный корпус,"Оборвавшийся строп при подъёме груза — груз упал в зоне, которая была незадолго до этого освобождена.",Некорректная укладка материалов,Закрыто
d410f9bd-970a-42dd-baae-4e8954433244,2023-03-09,11:56,Near-miss,org_07,ТрансНефть,Компрессорная,Утечка газа в компрессорной — обнаружена газоанализатором до розжига оборудования.,Нарушение процедур LOTO,Закрыто
98719ef2-a9c6-4b7f-82e9-2359906bab88,2023-03-09,11:29,Опасная ситуация,org_07,ТрансНефть,Административный корпус,Незакреплённые баллоны с газом в зоне проведения огневых работ.,Нарушение ППР,Закрыто
b5eca99c-17a1-452e-8acd-662b7f3784fc,2023-03-10,19:30,Near-miss,org_04,КазТехСтрой,Электроподстанция,Искрение в электрощитовой при плановом осмотре — немедленное отключение предотвратило возгорание.,Некорректная укладка материалов,Закрыто
0758db2b-db04-4f46-b0da-81394b703f5e,2023-03-14,05:39,Авария оборудования,org_04,КазТехСтрой,Электроподстанция,Поломка редуктора конвейерной ленты — вынужденная остановка участка.,Коррозия трубопровода,Расследуется
89a1d192-d9d3-4f4f-a412-30592fc02453,2023-03-16,02:43,Near-miss,org_01,КМГ-Кумколь (основное),Нефтесборный пункт,Водитель спецтехники не заметил пешехода в слепой зоне — столкновение предотвращено экстренным торможением.,Несанкционированный доступ,Закрыто
901ed615-2adb-480d-96b3-c10801f106be,2023-03-16,06:15,Опасная ситуация,org_01,КМГ-Кумколь (основное),Склад ГСМ,Отсутствие ограждения траншеи в ночное время — риск падения персонала.,Нарушение ППР,Расследуется
2dc46b4f-a6ee-45eb-afd7-0df5fa121496,2023-03-18,04:30,Near-miss,org_06,СтройПодряд,Нефтесборный пункт,Утечка газа в компрессорной — обнаружена газоанализатором до розжига оборудования.,Работа без наряда-допуска,Расследуется
d6df60f4-c8aa-42cb-9d1f-c6cdcd58f2d2,2023-03-20,12:59,Near-miss,org_02,БурСервис,Административный корпус,Водитель спецтехники не заметил пешехода в слепой зоне — столкновение предотвращено экстренным торможением.,Несанкционированный доступ,Расследуется
b72444e7-04ca-4545-84a8-5a62424854f4,2023-03-20,13:42,Опасная ситуация,org_01,КМГ-Кумколь (основное),Трубопровод Б-12,Обнаружена разгерметизация фланцевого соединения на трубопроводе высокого давления.,Захламлённость рабочей зоны,Расследуется
0d7c85c8-fb8b-4007-b1ec-762403f8f11b,2023-03-28,10:15,Near-miss,org_03,НефтеМонтаж,Буровая №1,Включение насоса при открытом дренажном вентиле — аварийная остановка оператором.,Несанкционированный доступ,Расследуется
e9716d3e-283b-4306-902f-9f3e0d986505,2023-03-28,01:56,Near-miss,org_02,БурСервис,Буровая №3,"Оборвавшийся строп при подъёме груза — груз упал в зоне, которая была незадолго до этого освобождена.",Некорректная укладка материалов,Закрыто
9f934a5f-99b9-409a-8cbd-62a699a554d0,2023-03-29,07:30,Микротравма,org_02,БурСервис,Трубопровод А-7,Ушиб колена при спуске по лестнице в условиях недостаточного освещения.,Спешка при выполнении работ,Расследуется
2c4605f5-b394-4657-b1ba-473bf670c688,2023-04-04,01:03,Микротравма,org_02,БурСервис,Буровая №1,Ссадина предплечья при контакте с острой кромкой оборудования.,Отсутствие СИЗ,Закрыто
31ad2e9c-fc89-474d-a605-cd732e129516,2023-04-05,16:39,Near-miss,org_05,АзимутДриллинг,Буровая №3,Утечка газа в компрессорной — обнаружена газоанализатором до розжига оборудования.,Несанкционированный доступ,Закрыто
d2626ef8-e5cb-4ce9-968d-b6826a236126,2023-04-09,17:36,Авария оборудования,org_03,НефтеМонтаж,Буровая №2,Трещина в корпусе насосного агрегата по причине гидравлического удара.,Коррозия трубопровода,Закрыто
ce4f862b-f93d-47c3-8da5-7a6889e3f346,2023-04-09,04:54,Опасная ситуация,org_05,АзимутДриллинг,Резервуарный парк,Обнаружена разгерметизация фланцевого соединения на трубопроводе высокого давления.,Нарушение ППР,Закрыто
4376a228-5e79-4c76-965b-431f35a6d811,2023-04-11,21:06,Опасная ситуация,org_02,БурСервис,Буровая №3,Незакреплённые баллоны с газом в зоне проведения огневых работ.,Захламлённость рабочей зоны,Закрыто
23f3c548-00dd-47b7-a98a-7949ae0d470e,2023-04-16,13:45,Опасная ситуация,org_01,КМГ-Кумколь (основное),Трубопровод Б-12,Обнаружена неисправность предохранительного клапана на ёмкости под давлением.,Захламлённость рабочей зоны,Закрыто
a91c1fb2-4309-47e7-87e0-b8adf2fe2c1b,2023-04-17,14:16,Near-miss,org_05,АзимутДриллинг,Насосная станция,Водитель спецтехники не заметил пешехода в слепой зоне — столкновение предотвращено экстренным торможением.,Работа без наряда-допуска,Закрыто
cdcaec09-f433-4aa7-a7d5-4a0da6e35a58,2023-04-26,11:14,Near-miss,org_05,АзимутДриллинг,Компрессорная,"Оборвавшийся строп при подъёме груза — груз упал в зоне, которая была незадолго до этого освобождена.",Работа без наряда-допуска,Закрыто
5d2b840f-b08f-486a-8a39-7864cb231888,2023-04-26,01:59,Near-miss,org_02,БурСервис,Электроподстанция,Водитель спецтехники не заметил пешехода в слепой зоне — столкновение предотвращено экстренным торможением.,Некорректная укладка материалов,Открыто
48acfbdc-f8e5-4181-a7fd-231ee3a1dca1,2023-04-27,07:10,Опасная ситуация,org_02,БурСервис,Нефтесборный пункт,Обнаружена неисправность предохранительного клапана на ёмкости под давлением.,Несоблюдение дистанции,Закрыто
d9bf212f-9474-4e4c-9f59-c029db658669,2023-04-30,11:50,Экологическое нарушение,org_05,АзимутДриллинг,Административный корпус,Нарушение режима работы факельной установки — чёрный дым в течение 20 минут.,Нарушение обращения с отходами,Закрыто
f760b970-bada-4587-9134-cb7de8bb67c6,2023-05-01,22:55,Near-miss,org_04,КазТехСтрой,Котельная,Включение насоса при открытом дренажном вентиле — аварийная остановка оператором.,Несанкционированный доступ,Закрыто
f4530e74-aff9-4bea-84e0-986092d4189d,2023-05-03,14:36,Экологическое нарушение,org_02,БурСервис,Нефтесборный пункт,Разлив дизельного топлива (около 50 л) при заправке техники — загрязнение грунта.,Несанкционированный выброс,Закрыто
e573d039-c7b4-425e-83b5-37b665f11e29,2023-05-03,18:08,Опасная ситуация,org_05,АзимутДриллинг,Трубопровод А-7,Отсутствие ограждения траншеи в ночное время — риск падения персонала.,Отсутствие ограждений,Закрыто
5b18643d-904f-4ab1-b57a-fd68a22a9ba0,2023-05-03,18:25,Опасная ситуация,org_02,БурСервис,Административный корпус,Захламлённость эвакуационного прохода — возможно блокирование выхода при аварии.,Захламлённость рабочей зоны,Расследуется
dfadb464-4ebb-492f-8d5a-9f20ff136d74,2023-05-16,02:57,Экологическое нарушение,org_05,АзимутДриллинг,Насосная станция,Обнаружено замасливание почвы под насосным агрегатом.,Нарушение обращения с отходами,Расследуется
9511ae0e-db77-4156-adb0-d92008b4c251,2023-05-19,06:15,Авария оборудования,org_04,КазТехСтрой,Буровая №3,Трещина в корпусе насосного агрегата по причине гидравлического удара.,Износ оборудования,Закрыто
4c7f7a8c-23b2-4854-ad8a-7abe91504d56,2023-05-21,06:29,Near-miss,org_03,НефтеМонтаж,Трубопровод А-7,Искрение в электрощитовой при плановом осмотре — немедленное отключение предотвратило возгорание.,Нарушение процедур LOTO,Открыто
91baed16-c54d-4c18-adce-faa6a9383aac,2023-05-25,16:34,Опасная ситуация,org_04,КазТехСтрой,Склад ГСМ,Обнаружена неисправность предохранительного клапана на ёмкости под давлением.,Несоблюдение дистанции,Закрыто
de1f468b-9733-425b-93e4-bed9ca255610,2023-05-26,23:05,Экологическое нарушение,org_03,НефтеМонтаж,Резервуарный парк,Утечка пластовой воды из ёмкости хранения — площадь загрязнения ~10 м².,Несанкционированный выброс,Закрыто
55afa42f-0d98-4f8d-b1d1-8d9b31ebd225,2023-05-28,13:47,Авария оборудования,org_01,КМГ-Кумколь (основное),Буровая №3,Отказ дизельного генератора резервного питания при плановой проверке.,Нарушение регламента ТО,Закрыто
1ea25a49-991c-4454-82bb-960fc6e6cf3a,2023-06-03,09:15,Опасная ситуация,org_03,НефтеМонтаж,Компрессорная,Захламлённость эвакуационного прохода — возможно блокирование выхода при аварии.,Захламлённость рабочей зоны,Открыто
80bb96e8-8737-4f03-9e2d-0aa5cc622868,2023-06-03,15:43,Near-miss,org_01,КМГ-Кумколь (основное),Буровая №2,Водитель спецтехники не заметил пешехода в слепой зоне — столкновение предотвращено экстренным торможением.,Несанкционированный доступ,Закрыто
c2c7fe66-e096-4d41-b28e-324ccef8c98f,2023-06-04,03:41,Опасная ситуация,org_02,БурСервис,Резервуарный парк,Захламлённость эвакуационного прохода — возможно блокирование выхода при аварии.,Несоблюдение дистанции,Закрыто
d32bfe7c-e08b-4c82-be79-a79170f68e97,2023-06-05,15:52,Near-miss,org_01,КМГ-Кумколь (основное),Нефтесборный пункт,Искрение в электрощитовой при плановом осмотре — немедленное отключение предотвратило возгорание.,Некорректная укладка материалов,Закрыто
add0f03e-2905-47c6-8723-525391103457,2023-06-05,06:07,Near-miss,org_02,БурСервис,Склад ГСМ,Искрение в электрощитовой при плановом осмотре — немедленное отключение предотвратило возгорание.,Нарушение процедур LOTO,Открыто
1a03ec8c-be41-46a0-aa3c-85f951d7662a,2023-06-07,08:22,Near-miss,org_03,НефтеМонтаж,Нефтесборный пункт,Искрение в электрощитовой при плановом осмотре — немедленное отключение предотвратило возгорание.,Некорректная укладка материалов,Закрыто
8d2f566a-707e-4e41-ae12-6090349b9cfc,2023-06-07,05:35,Авария оборудования,org_03,НефтеМонтаж,Буровая №2,Трещина в корпусе насосного агрегата по причине гидравлического удара.,Нарушение регламента ТО,Открыто
aaf5e7b3-d645-4910-a9bd-a730e1b118fb,2023-06-09,02:56,Опасная ситуация,org_06,СтройПодряд,Электроподстанция,Незакреплённые баллоны с газом в зоне проведения огневых работ.,Несоблюдение дистанции,Закрыто
964b4fdc-5e3b-4e76-8317-666341b0114a,2023-06-09,23:22,Опасная ситуация,org_03,НефтеМонтаж,Электроподстанция,Отсутствие ограждения траншеи в ночное время — риск падения персонала.,Несоблюдение дистанции,Закрыто
f5a32383-17ea-4ad6-b0b1-d5dae45210cd,2023-06-09,04:43,Near-miss,org_04,КазТехСтрой,Насосная станция,"Оборвавшийся строп при подъёме груза — груз упал в зоне, которая была незадолго до этого освобождена.",Несанкционированный доступ,Закрыто
f4612634-7d6e-42e3-8171-c03cf64b8a49,2023-06-10,22:30,Опасная ситуация,org_04,КазТехСтрой,Насосная станция,Незакреплённые баллоны с газом в зоне проведения огневых работ.,Несоблюдение дистанции,Расследуется
899be24b-bed6-4977-9ffc-c0b8a9759dda,2023-06-11,21:32,Опасная ситуация,org_03,НефтеМонтаж,Буровая №3,Обнаружена неисправность предохранительного клапана на ёмкости под давлением.,Захламлённость рабочей зоны,Закрыто
a0928989-3a6a-4181-ae84-4dfdcf11d806,2023-06-12,23:23,Авария оборудования,org_07,ТрансНефть,Буровая №3,Поломка редуктора конвейерной ленты — вынужденная остановка участка.,Нарушение регламента ТО,Закрыто
71d4a8fb-fa7a-4c52-8095-93b850f55356,2023-06-12,23:29,Near-miss,org_02,БурСервис,Электроподстанция,Искрение в электрощитовой при плановом осмотре — немедленное отключение предотвратило возгорание.,Нарушение процедур LOTO,Закрыто
