id,date,obs_type,org_id,org_name,category,description,resolved
caa596e3-4b8e-461a-8a33-20dd016db15b,2023-01-01,Хорошая практика,org_01,КМГ-Кумколь (основное),Работа на высоте,Работник корректно применил процедуру LOTO при обслуживании оборудования.,Устранено
ba719135-1b2c-43d9-ad15-ed1ecc706219,2023-01-03,Нарушение,org_01,КМГ-Кумколь (основное),Работа на высоте,Отсутствие ограждения края кровли при проведении ремонтных работ.,Устранено
6c158ee4-9eff-4a2b-83a4-a0ffd61a49c7,2023-01-03,Нарушение,org_06,СтройПодряд,Огневые работы,Сварочные работы в непосредственной близости от ГСМ.,Устранено
c718bccf-755c-440e-88d1-c80af6ead6c7,2023-01-03,Хорошая практика,org_05,АзимутДриллинг,Огневые работы,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
ff477302-62a4-492e-a95b-dd62249ee99c,2023-01-04,Нарушение,org_06,СтройПодряд,Электробезопасность,Оголённые провода удлинителя в рабочей зоне.,В работе
aca04a59-922e-44d0-bbcf-234425fbd67c,2023-01-04,Нарушение,org_01,КМГ-Кумколь (основное),Транспорт,Превышение скорости спецтехники на производственной площадке.,Устранено
2e3aea40-ca4f-4866-acf2-3db7a1b7b411,2023-01-05,Нарушение,org_07,ТрансНефть,Работа на высоте,Отсутствие ограждения края кровли при проведении ремонтных работ.,В работе
a53eef82-1f04-4c10-b261-86d873e9a5cf,2023-01-06,Нарушение,org_06,СтройПодряд,Экология,Хранение химических реагентов без поддонов на грунте.,Устранено
06f342ca-1c4a-447c-854e-bcec0e8e4c4b,2023-01-06,Хорошая практика,org_02,БурСервис,СИЗ,"Рабочая зона чистая, проходы свободны, инструмент убран по местам.",Устранено
b685f0b1-52a3-4a60-93ec-a6aaf06aad2e,2023-01-06,Нарушение,org_06,СтройПодряд,СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,Устранено
0443caf4-3900-447b-95e1-7431211c231a,2023-01-07,Нарушение,org_05,АзимутДриллинг,СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,Устранено
c878bfdb-9168-442d-bbe7-d70623b51c53,2023-01-08,Нарушение,org_02,БурСервис,СИЗ,Работник выполняет сварочные работы без защитного щитка и перчаток.,В работе
b3c5c568-a08e-418c-ba69-8da493ef9d2c,2023-01-09,Нарушение,org_04,КазТехСтрой,СИЗ,Отсутствие защитной обуви (спецботинок) у двух работников на объекте.,Устранено
bee74018-82d3-484c-abd4-b3a4f3b0e521,2023-01-10,Хорошая практика,org_01,КМГ-Кумколь (основное),Порядок на рабочем месте,Правильное хранение химических веществ с соблюдением требований маркировки.,Устранено
6d71453f-efec-4f78-80f8-f78488ce8b1b,2023-01-10,Нарушение,org_07,ТрансНефть,LOTO,Обслуживание работающего оборудования без выполнения процедуры LOTO.,Устранено
8141ba04-2ddd-4f90-81ee-390ecb5b1658,2023-01-10,Нарушение,org_07,ТрансНефть,Электробезопасность,Оголённые провода удлинителя в рабочей зоне.,Устранено
4d24f8dc-3127-4646-985a-73a2c81893e5,2023-01-11,Нарушение,org_01,КМГ-Кумколь (основное),Работа на высоте,Работа на высоте 2.5м без страховочной привязи.,Устранено
c29aafa0-e6a1-481d-b468-241cb2e918ca,2023-01-12,Нарушение,org_05,АзимутДриллинг,Порядок на рабочем месте,Хранение горюче-смазочных материалов вне отведённого места.,Просрочено
8ea0afe9-4801-47b2-be2a-a598e5db2124,2023-01-12,Нарушение,org_07,ТрансНефть,Порядок на рабочем месте,Захламлённость прохода у эвакуационного выхода.,Устранено
69babea6-d236-4f17-a1e3-241aca229891,2023-01-13,Нарушение,org_05,АзимутДриллинг,Огневые работы,Отсутствие первичных средств пожаротушения в зоне огневых работ.,В работе
aea5ac86-4ad9-4638-a331-642911843d2f,2023-01-13,Нарушение,org_03,НефтеМонтаж,Электробезопасность,Распределительный щит оставлен открытым и без обозначений.,Устранено
85f3bca5-e836-41b9-a53c-ecec3b28b5ac,2023-01-13,Нарушение,org_06,СтройПодряд,СИЗ,Отсутствие каски у работника в зоне обязательного ношения СИЗ.,Устранено
6579ac22-d8fe-4dd7-9286-0abf60b1e06f,2023-01-13,Хорошая практика,org_07,ТрансНефть,Транспорт,Наличие и правильное использование огнетушителей в зоне огневых работ.,Устранено
5cc1df70-a376-4890-9e9e-81ca86c47e74,2023-01-15,Нарушение,org_07,ТрансНефть,Огневые работы,Отсутствие первичных средств пожаротушения в зоне огневых работ.,Устранено
19e47c5a-8b1f-4143-ac87-5b5f6e87d3b9,2023-01-16,Нарушение,org_06,СтройПодряд,Транспорт,Движение задним ходом без сигнальщика.,Устранено
bfa43ae7-c616-4128-bfdc-d48020c84e10,2023-01-17,Нарушение,org_02,БурСервис,LOTO,Работы на электрооборудовании без оформления наряда-допуска.,В работе
7e4fb9c5-6e97-4084-89eb-de234ab749a8,2023-01-17,Нарушение,org_05,АзимутДриллинг,Транспорт,Движение задним ходом без сигнальщика.,Устранено
657e7c75-fd26-41a8-979f-d05079a26ea4,2023-01-17,Нарушение,org_04,КазТехСтрой,Электробезопасность,Распределительный щит оставлен открытым и без обозначений.,Устранено
5d656242-c051-4eb9-9900-c058af41a4bb,2023-01-19,Нарушение,org_04,КазТехСтрой,Работа на высоте,Работа на высоте 2.5м без страховочной привязи.,В работе
